model,accuracy,precision,recall,f1,roc_auc
Logistic Regression (scaled),0.9794277435711699,0.971687706826817,0.9592256503327283,0.9654164637116415,0.9954501609501871
SVM RBF (scaled),0.9888084027526258,0.9819481463532832,0.9806412583182094,0.981294267207458,0.9973950227481789
Random Forest (constrained),0.9931546541108294,0.9887436456063907,0.9883847549909256,0.98856416772554,0.9996474903982625
